Ward_Name,Zone,surface_temp,urban_index,veg_index,water_index,health_score,city_rank
Dattatreya Temple,West,37.07928858190785,0.0004507306587587712,0.1029128234560139,-0.1230271234192687,40.64,120
Gandhinagar,West,37.49704384188282,-0.0028000487333217,0.1152341438262114,-0.1291871042472743,40.25,121
Agrahara Dasarahalli,West,37.47666672292437,-0.0023514816002388,0.107543340607569,-0.123685149786955,40.23,122
Vasanthpura,Bommanahalli,36.93160660710964,-0.0021612294586267,0.1307597239771944,-0.1507910812760138,39.48,123
Varthuru,Mahadevapura,36.18966645578497,-0.0023315836727646,0.1600517274401236,-0.1849941525313847,39.07,124
A Narayanapura,Mahadevapura,36.23432645491204,0.0084262443788984,0.0999239621158998,-0.1305373354535189,38.96,125
Vijayanagar,South,37.29774216043312,0.0016807280828405,0.0966074202122731,-0.1179690709875299,38.88,126
Uttarahalli,Bommanahalli,37.13956207133631,-0.0045055206148546,0.1464953755164065,-0.1636248418377524,38.39,127
Vijnanapura,Mahadevapura,36.4172432570892,0.0055141252483153,0.1103643021380665,-0.1399801338741725,38.16,128
Kaval Bairasandra,East,36.89634165623901,0.0012695874897034,0.1151007305568383,-0.1407069578355227,37.85,129
Hombegowda Nagara,South,37.45970666401081,0.0014166413978946,0.1090874807733313,-0.128183794392351,37.31,130
Bagalakunte,Dasarahalli,36.85664146079869,-0.0002827044273733192,0.1278715966618332,-0.1535319351323135,37.25,131
Kammanahalli,East,35.649431382145195,0.0162254195566912,0.0852404236198179,-0.1271596902017402,36.69,132
Ejipura,South,36.92924117140923,0.0055056467229109,0.1029554414430287,-0.1299860128523225,36.64,133
Rayapuram,West,37.691283861189454,0.0014350373776274,0.1089125200588169,-0.127124910965246,36.12,134
Chokkasandra,Dasarahalli,37.29145702814501,-0.000782269165535437,0.1291222736593978,-0.1513175325582473,35.78,135
Gayithri Nagar,West,36.98604206330755,0.0087959864575067,0.0883849447383266,-0.1182717652843458,35.41,136
Thanisandra,Yelahanka,36.74380656393361,0.0033959723247653,0.1229786976215109,-0.1532404745975248,35.13,137
Atturu,Yelahanka,36.41143051321533,0.0025376690677096,0.1406547353601361,-0.1734302158319016,34.62,138
Lingarajapura,East,36.73077619917697,0.0094487215669936,0.0994675705489153,-0.1315767827240308,34.62,138
Jakkuru,Yelahanka,36.498967440153024,0.0027565916126258,0.1446362032970828,-0.1751252593138149,34.37,140
Madivala,South,37.1684945396551,0.0089663272660293,0.0885446237159871,-0.1183038527422617,34.14,141
Azad Nagar,West,37.677471879185525,0.0053910978937434,0.1041715695120217,-0.1266394442100109,33.33,142
Shettihalli,Dasarahalli,36.96942949552947,0.00013243949762011396,0.1529061197945689,-0.1788956239753771,33.17,143
Banashankari Temple ward,South,37.21140432520095,0.0092383870233013,0.1039737341040012,-0.1312977815615144,32.85,144
Kottegepalya,Rajarajeshwari Nagar,37.88948938792081,-0.0011277815058141,0.1264806301427973,-0.1479582120162516,32.51,145
Chalavadipalya,West,38.138349109646015,-0.0011720708492545,0.1277617661486425,-0.1449574993757457,32.41,146
HMT Ward,Rajarajeshwari Nagar,37.9787091427854,-7.248005186563884e-05,0.1327848357140661,-0.1508357884136311,32.06,147
Yelchenahalli,Bommanahalli,37.31991969979794,0.0087470172067527,0.1017642140788062,-0.1314528229692263,31.66,148
Dr. Raj Kumar Ward,West,38.10731260476618,0.0035658201528873,0.1079057180246667,-0.1288032231352996,31.43,149
Bharathi Nagar,East,37.23188618345283,0.0087444198230119,0.1130563606243352,-0.1414363224813675,31.42,150
Gottigere,Bommanahalli,37.46584429050074,0.0024805868263316,0.1356976775172617,-0.1614003272244919,30.97,151
Marappana Palya,West,37.77617266840307,0.0052103454863634,0.1174628449123855,-0.1420495371276365,30.31,152
Manorayanapalya,East,36.82588257019137,0.0145488612576362,0.0887911277941083,-0.1277940564417782,30.25,153
Dayananda Nagar,West,37.448127157080464,0.0113035667825787,0.088999997944644,-0.1214613674948708,30.09,154
Cottonpete,West,37.8651413470301,0.0063552079945198,0.1062310139131899,-0.132785035544608,29.76,155
Vishwanath Nagenahalli,East,36.93911041278498,0.0132388504780397,0.0920266886621861,-0.1310993543873224,29.65,156
HAL Airport,Mahadevapura,37.61263921597176,0.0032304297502208,0.1587106343462879,-0.1802069322675821,28.57,157
Lakshmi Devi Nagar,Rajarajeshwari Nagar,37.94153449047684,0.0061163370900002,0.1189659092875885,-0.1443273013774285,28.3,158
Ramamurthy Nagar,Mahadevapura,36.78143359856192,0.0112448058355942,0.1180436119205405,-0.1579662828306655,28.13,159
Hudi,Mahadevapura,36.97092590686515,0.0091360294760962,0.132924624135471,-0.1709148640095356,26.78,160
Deepanjali Nagar,South,38.03289992009296,0.0074244651887148,0.1129436595276201,-0.1412654004693625,26.65,161
Singasandra,Bommanahalli,37.52275365703302,0.0074739710266493,0.1281330293179885,-0.1604806824938148,26.63,162
Begur,Bommanahalli,37.81604547181254,0.0038400040149236,0.1405258271375884,-0.1684948703650759,26.53,163
Yeshwanthpura,Rajarajeshwari Nagar,37.32607572460815,0.0133526995694177,0.1002414211571952,-0.1392845618988329,26.02,164
Bommanahalli,Bommanahalli,37.65337017239471,0.0137763943306648,0.0965625977800347,-0.1324247854235708,25.34,165
Gurappanapalya,South,37.37092535820244,0.0206462107567122,0.0699052267123825,-0.1125207985234224,24.71,166
Ullalu,Rajarajeshwari Nagar,38.19464996618386,0.0015114674618348,0.1460197542158046,-0.1733200572778525,24.61,167
Mallasandra,Dasarahalli,37.58291705922279,0.0110741140609581,0.1183514543305968,-0.1555791925275608,23.85,168
Jagajivanaramnagar,West,38.352280500430446,0.0112540541934073,0.1097025430050169,-0.1367121772323779,23.72,169
T Dasarahalli,Dasarahalli,37.759800644545166,0.0153415679193462,0.0891967444166834,-0.1317314512833225,22.15,170
Herohalli,Rajarajeshwari Nagar,38.07770840650832,0.0077525689459055,0.1276342426935948,-0.1627070461061437,21.74,171
Hemmigepura,Rajarajeshwari Nagar,38.05419797289094,0.0051151917845112,0.162483162745981,-0.1906585502723454,21.64,172
Binnipete,West,38.01292488202936,0.017610728131328,0.0872501237942078,-0.1259683193052946,21.2,173
Laggere,Rajarajeshwari Nagar,38.2736770184351,0.0137485644969801,0.0950960505271291,-0.1327757388623607,20.63,174
Sudham Nagara,South,38.22074387520795,0.01736880318473,0.0926589789739045,-0.1306318063506141,19.56,175
Gali Anjenaya Temple ward,South,38.79336896838089,0.0156288202402632,0.1003939196033045,-0.1339064600432131,17.33,176
K R Market,West,39.1846681071362,0.0124609309019131,0.1001180174272249,-0.1328617945445899,16.44,177
Peenya Industrial Area,Dasarahalli,38.92427965780594,0.0118039765920445,0.1229682990906442,-0.1559604308112629,15.64,178
Nilasandra,East,37.96311958410904,0.0239315006846936,0.0910456696349119,-0.1369441779345697,15.42,179
Mangammanapalya,Bommanahalli,38.47311507454451,0.0186531375455006,0.0990824138503725,-0.1410211093717919,14.94,180
Kengeri,Rajarajeshwari Nagar,39.41139446439168,0.005623205778918,0.1405859588403481,-0.1702331226590788,14.32,181
Bapuji Nagar,South,38.85058654622459,0.0214499290121312,0.0800452767029606,-0.1204329616356902,14.06,182
Nagavara,East,37.66595579564533,0.0256514656839713,0.0935784275005019,-0.146718102104786,13.46,183
Hongasandra,Bommanahalli,38.53351827219579,0.0227832514178309,0.0785668537937629,-0.1254424484219424,13.19,184
Vrisabhavathi Nagar,West,38.72821201706546,0.0222722150181822,0.0797338303242194,-0.1237379394538526,13.12,185
Kempapura Agrahara,South,38.34389545084525,0.0267088732827199,0.0690363723554522,-0.1183146793976214,12.92,186
Anjanapura,Bommanahalli,38.770254544866845,0.0117301565627114,0.1485601332356255,-0.1847945497859302,12.35,187
Shivaji Nagar,East,37.59849351976099,0.0329163751738976,0.0777730285342828,-0.1334699639049857,11.58,188
Dharmaraya Swamy Temple,South,38.987334967885815,0.0230840389019815,0.0841274268234315,-0.1269201175892574,10.97,189
Kadugondanahalli,East,38.26458021774069,0.0258071157804588,0.0893967114861513,-0.1409379719187062,10.5,190
Kaveripura,West,39.12751097904407,0.0197594645167902,0.0945397902730492,-0.1388413248321448,9.64,191
Kushal Nagar,East,38.27122063015495,0.0302903741927703,0.0819492268858853,-0.1367922612999899,8.05,192
Rajagopal Nagar,Dasarahalli,39.27854716373445,0.0195924690770688,0.102625696666796,-0.1501029734486352,6.46,193
Chickpete,West,38.02472848666097,0.0367498489654118,0.0639498963543468,-0.1252030908381738,6.45,194
Dodda Bidarakallu,Rajarajeshwari Nagar,38.73934945991412,0.0192833497890181,0.1257000264682216,-0.1764719049141887,6.14,195
Muneshwara Nagar,East,38.47825395142646,0.0299648603441303,0.0924133855443702,-0.1485540654578701,5.02,196
Hegganahalli,Dasarahalli,39.169828961844495,0.0273892998676864,0.0866026036987218,-0.1411134789136749,2.85,197
Padarayanapura,West,38.98948150627432,0.0377930763324414,0.0678374317852312,-0.1266542025863564,0.0,198
